reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp
-4447.499999999999,0.7539540549517295,719,0.6590909090909091,0.2222222222222222,3512,0,25.274407167925457,94,2026-05-10T20:45:22.794504
-3921.1666666666674,0.7516921927868743,719,0.48314606741573035,0.18055555555555555,3511,0,25.795873840926255,95,2026-05-10T20:50:20.324477
-3700.666666666671,0.7494371162085136,719,1.5543478260869565,0.3194444444444444,3507,0,24.996583604348384,96,2026-05-10T20:55:01.847922
-3786.4444444444425,0.747188804859888,719,0.2,0.05555555555555555,3513,0,24.68146200272901,97,2026-05-10T20:58:54.024273
-3627.722222222225,0.7449472384453084,719,1.0941176470588236,0.2222222222222222,3515,0,24.643071229003567,98,2026-05-10T21:00:31.189833
-4042.6111111111104,0.7427123967299725,719,5.088888888888889,0.4444444444444444,3510,0,25.672046576488,99,2026-05-10T21:02:04.299699
-3556.833333333331,0.7404842595397826,719,1.1839080459770115,0.16666666666666666,3513,0,24.793147947924194,100,2026-05-10T21:05:03.268191
-3711.8333333333335,0.7382628067611632,719,0.6105263157894737,0.19444444444444445,3505,0,24.074082442218636,101,2026-05-10T21:05:40.692096
-3411.555555555554,0.7360480183408797,719,0.25882352941176473,0.08333333333333333,3514,0,24.951494413224648,102,2026-05-10T21:06:15.276911
-3309.7777777777733,0.7338398742858571,719,0.7674418604651163,0.2222222222222222,3514,0,25.279015858083838,103,2026-05-10T21:06:52.291558
-3465.777777777778,0.7316383546629995,719,1.8111111111111111,0.3611111111111111,3510,0,25.494210276384845,104,2026-05-10T21:07:30.335592
-3441.9999999999964,0.7294434395990105,719,0.7380952380952381,0.20833333333333334,3515,0,24.471843509912823,105,2026-05-10T21:08:03.595312
-3341.722222222223,0.7272551092802134,719,1.0864197530864197,0.2222222222222222,3518,0,24.241923017859957,106,2026-05-10T21:08:37.301766
-3509.166666666671,0.7250733439523728,719,0.4418604651162791,0.1111111111111111,3514,0,23.966864497008345,107,2026-05-10T21:09:09.946607
-3372.8333333333344,0.7228981239205157,719,2.8072289156626504,0.3611111111111111,3517,0,24.349763302544392,108,2026-05-10T21:09:43.018054
-3434.7222222222213,0.7207294295487541,719,1.7391304347826086,0.3055555555555556,3508,0,24.071426480469682,109,2026-05-10T21:10:16.053081
-3503.2222222222204,0.7185672412601078,719,0.3563218390804598,0.125,3513,0,24.586191397548884,110,2026-05-10T21:11:06.201226
-3121.833333333338,0.7164115395363275,719,1.5888888888888888,0.25,3510,0,23.78846622673958,111,2026-05-10T21:11:39.796680
-3531.8888888888882,0.7142623049177186,719,0.6206896551724138,0.18055555555555555,3512,0,23.716230278386526,112,2026-05-10T21:12:18.521607
-3476.444444444449,0.7121195180029655,719,0.6666666666666666,0.18055555555555555,3513,0,23.58010992652352,113,2026-05-10T21:12:52.974872
-3382.500000000003,0.7099831594489566,719,0.47126436781609193,0.1388888888888889,3512,0,23.880426255651905,114,2026-05-10T21:13:26.823270
-3647.7777777777774,0.7078532099706097,719,0.8842105263157894,0.2361111111111111,3505,0,23.853043289609015,115,2026-05-10T21:14:10.083021
-3283.666666666668,0.7057296503406979,719,0.4431818181818182,0.1388888888888889,3512,0,24.221733111831178,116,2026-05-10T21:14:43.336880
-3685.388888888892,0.7036124613896758,719,1.9770114942528736,0.25,3513,0,23.603950996558094,117,2026-05-10T21:15:16.138306
-3605.277777777776,0.7015016240055068,719,0.5652173913043478,0.1388888888888889,3508,0,24.04065054414667,118,2026-05-10T21:15:49.299280
-3784.722222222221,0.6993971191334902,719,0.29069767441860467,0.125,3514,0,23.609016824332333,119,2026-05-10T21:16:32.073883
-3488.5555555555597,0.6972989277760897,719,2.611111111111111,0.375,3510,0,23.42882614772409,120,2026-05-10T21:17:05.542322
-3547.833333333331,0.6952070309927615,719,0.6914893617021277,0.20833333333333334,3506,0,24.642836556149458,121,2026-05-10T21:17:39.070981
-3623.0000000000027,0.6931214098997832,719,0.3488372093023256,0.125,3513,0,24.662194802465955,122,2026-05-10T21:18:12.326782
-3570.055555555553,0.6910420456700839,719,0.6162790697674418,0.18055555555555555,3512,0,23.967262984316935,123,2026-05-10T21:18:45.858517
-3202.2777777777787,0.6889689195330736,719,0.058823529411764705,0.041666666666666664,3515,0,22.98008543128596,124,2026-05-10T21:19:19.365146
-3623.444444444446,0.6869020127744744,719,0.1411764705882353,0.05555555555555555,3514,0,23.2106008410288,125,2026-05-10T21:19:52.796312
-3315.8333333333353,0.684841306736151,719,0.5777777777777777,0.1388888888888889,3510,0,23.15247213658106,126,2026-05-10T21:20:25.631981
-3317.3333333333326,0.6827867828159425,719,0.5402298850574713,0.18055555555555555,3512,0,23.15686790933198,127,2026-05-10T21:21:07.742613
-3699.6666666666692,0.6807384224674947,719,1.1647058823529413,0.2638888888888889,3514,0,23.09851074086111,128,2026-05-10T21:21:40.669972
-3360.111111111112,0.6786962072000923,719,0.42168674698795183,0.125,3515,0,22.95777090733174,129,2026-05-10T21:22:14.353170
-3043.3888888888882,0.676660118578492,719,0.3146067415730337,0.1527777777777778,3511,0,23.77295684681814,130,2026-05-10T21:22:47.742233
-3398.333333333337,0.6746301382227565,719,0.43820224719101125,0.1527777777777778,3511,0,23.9608734857721,131,2026-05-10T21:23:24.406736
-3434.777777777779,0.6726062478080883,719,0.4777777777777778,0.16666666666666666,3510,0,22.946693442958782,132,2026-05-10T21:23:57.619266
-3221.2222222222235,0.6705884290646641,719,0.8709677419354839,0.20833333333333334,3507,0,23.293534484460057,133,2026-05-10T21:24:31.221139
-3020.1666666666683,0.66857666377747,719,0.16091954022988506,0.09722222222222222,3513,0,23.41762442714813,134,2026-05-10T21:25:05.009227
-3068.6666666666647,0.6665709337861376,719,0.6666666666666666,0.19444444444444445,3513,0,23.776004549856808,135,2026-05-10T21:25:51.268392
-3285.500000000001,0.6645712209847792,719,0.3181818181818182,0.1527777777777778,3512,0,23.68909324890052,136,2026-05-10T21:26:24.720051
-3265.2222222222217,0.6625775073218249,719,0.29545454545454547,0.125,3511,0,23.600424770519698,137,2026-05-10T21:26:58.425163
-3310.055555555555,0.6605897747998594,719,0.1511627906976744,0.08333333333333333,3514,0,23.81507610512045,138,2026-05-10T21:27:30.836809
-3147.5000000000014,0.6586080054754598,719,1.2988505747126438,0.18055555555555555,3513,0,23.26922658089968,139,2026-05-10T21:28:13.274512
-3152.8888888888887,0.6566321814590335,719,0.43529411764705883,0.125,3514,0,22.72870575635589,140,2026-05-10T21:28:50.571851
-3101.3888888888896,0.6546622849146564,719,0.8586956521739131,0.20833333333333334,3508,0,22.481966366190903,141,2026-05-10T21:34:02.015833
-3302.611111111109,0.6526982980599124,719,0.10227272727272728,0.05555555555555555,3510,0,22.755888868605144,142,2026-05-10T21:38:15.821157
-3552.6666666666656,0.6507402031657327,719,0.3522727272727273,0.1388888888888889,3511,0,23.2926008240404,143,2026-05-10T21:38:48.584579
-3047.9444444444457,0.6487879825562355,719,0.5119047619047619,0.19444444444444445,3515,0,22.75679123285583,144,2026-05-10T21:39:21.274547
-3099.6666666666633,0.6468416186085668,719,1.3132530120481927,0.2777777777777778,3517,0,22.713336138135038,145,2026-05-10T21:39:54.145332
-2837.611111111109,0.6449010937527411,719,1.9024390243902438,0.2361111111111111,3516,0,22.290444139313465,146,2026-05-10T21:40:27.891677
-2992.666666666664,0.6429663904714829,719,0.8131868131868132,0.2222222222222222,3508,0,22.535876093719864,147,2026-05-10T21:41:04.181751
-3162.11111111111,0.6410374913000684,719,0.27835051546391754,0.16666666666666666,3503,0,22.636725537136964,148,2026-05-10T21:41:37.466863
-3487.611111111112,0.6391143788261682,719,0.7717391304347826,0.18055555555555555,3508,0,22.757657876100925,149,2026-05-10T21:42:15.631663
-3292.3888888888873,0.6371970356896897,719,1.302325581395349,0.20833333333333334,3513,0,22.81596851083599,150,2026-05-10T21:42:49.323098
-2997.8888888888896,0.6352854445826206,719,0.46511627906976744,0.125,3513,0,22.662314949513146,151,2026-05-10T21:43:25.518057
-3117.38888888889,0.6333795882488727,719,0.47674418604651164,0.125,3513,0,22.238097620607252,152,2026-05-10T21:43:58.326024
-3186.111111111113,0.6314794494841262,719,1.9767441860465116,0.2638888888888889,3514,0,22.753086564935465,153,2026-05-10T21:44:31.086572
-3012.5555555555557,0.6295850111356738,719,0.2261904761904762,0.08333333333333333,3516,0,22.491051718986416,154,2026-05-10T21:45:04.661307
-3016.5555555555543,0.6276962561022668,719,0.6067415730337079,0.19444444444444445,3511,1,22.528442618909896,155,2026-05-10T21:45:37.795667
-3282.2777777777765,0.62581316733396,719,0.313953488372093,0.05555555555555555,3513,1,22.659856538945014,156,2026-05-10T21:46:11.654113
-3026.5555555555557,0.623935727831958,719,0.9285714285714286,0.2361111111111111,3515,0,23.109585779266993,157,2026-05-10T21:46:45.057726
-3070.33333333333,0.6220639206484622,719,0.6976744186046512,0.1111111111111111,3512,0,22.862652084923585,158,2026-05-10T21:47:19.155494
-2940.000000000001,0.6201977288865168,719,0.054945054945054944,0.041666666666666664,3508,0,23.546647865019523,159,2026-05-10T21:47:52.428018
-2873.0000000000027,0.6183371356998573,719,0.12345679012345678,0.06944444444444445,3518,0,22.98345531442401,160,2026-05-10T21:48:26.429900
-2990.7777777777756,0.6164821242927577,719,1.0470588235294118,0.20833333333333334,3515,0,22.406250591569883,161,2026-05-10T21:48:59.646120
-3063.9999999999977,0.6146326779198794,719,1.0813953488372092,0.2361111111111111,3514,0,22.804367572110618,162,2026-05-10T21:49:32.835103
-2886.2777777777783,0.6127887798861198,719,0.8452380952380952,0.19444444444444445,3515,0,22.915292226555284,163,2026-05-10T21:50:05.416646
-3055.2222222222244,0.6109504135464614,719,1.2823529411764707,0.2638888888888889,3514,0,22.304928819393748,164,2026-05-10T21:50:37.958173
-3029.8333333333353,0.609117562305822,719,2.0843373493975905,0.2777777777777778,3516,0,22.766683644810705,165,2026-05-10T21:51:20.079291
-3017.2777777777815,0.6072902096189046,719,1.3734939759036144,0.19444444444444445,3517,0,23.057097919129863,166,2026-05-10T21:51:53.778589
-2995.722222222221,0.6054683389900478,719,0.3956043956043956,0.125,3508,0,22.462039438176056,167,2026-05-10T21:52:28.339764
-3028.8333333333308,0.6036519339730777,719,0.26744186046511625,0.1527777777777778,3514,0,23.00399722973395,168,2026-05-10T21:53:02.174084
-2992.611111111111,0.6018409781711584,719,0.5909090909090909,0.1388888888888889,3512,0,22.79765407631228,169,2026-05-10T21:53:35.879380
-2858.8888888888887,0.6000354552366449,719,0.7790697674418605,0.1527777777777778,3514,0,23.29147998746148,170,2026-05-10T21:54:10.078653
-2920.8888888888905,0.598235348870935,719,0.08333333333333333,0.05555555555555555,3515,0,22.33768632647391,171,2026-05-10T21:54:43.775297
-2879.4444444444457,0.5964406428243222,719,0.24705882352941178,0.1111111111111111,3514,0,22.10297111675703,172,2026-05-10T21:55:17.434139
-3036.3333333333344,0.5946513208958493,719,1.962962962962963,0.2638888888888889,3518,1,22.707460164692208,173,2026-05-10T21:55:50.103583
-3060.9999999999986,0.5928673669331617,719,0.611764705882353,0.18055555555555555,3515,0,22.67575961392844,174,2026-05-10T21:56:23.114107
-2992.5000000000014,0.5910887648323622,719,0.5975609756097561,0.1388888888888889,3517,0,21.988277826587748,175,2026-05-10T21:56:56.305416
-2984.1111111111145,0.5893154985378651,719,1.035294117647059,0.1388888888888889,3515,0,22.908182970505926,176,2026-05-10T21:57:43.745829
-2839.5555555555593,0.5875475520422515,719,0.3058823529411765,0.1111111111111111,3514,0,22.480712454242735,177,2026-05-10T21:58:18.185641
-3016.8333333333344,0.5857849093861247,719,0.5308641975308642,0.1388888888888889,3519,0,21.9316300457144,178,2026-05-10T21:58:52.613055
-2813.9444444444443,0.5840275546579663,719,1.0470588235294118,0.2222222222222222,3515,0,22.786888723413206,179,2026-05-10T21:59:26.211313
-2913.833333333334,0.5822754719939924,719,0.4943820224719101,0.1527777777777778,3511,1,22.315681045012283,180,2026-05-10T22:00:03.392188
-2928.722222222223,0.5805286455780104,719,0.8953488372093024,0.2361111111111111,3514,0,22.651514984470417,181,2026-05-10T22:00:37.161760
-2847.000000000003,0.5787870596412764,719,0.5777777777777777,0.18055555555555555,3510,0,23.102040940763555,182,2026-05-10T22:01:10.903247
-2822.3888888888882,0.5770506984623526,719,0.8953488372093024,0.19444444444444445,3513,0,22.81086987348193,183,2026-05-10T22:01:43.870761
-2944.6666666666647,0.5753195463669655,719,1.1724137931034482,0.2916666666666667,3513,0,22.269169434718528,184,2026-05-10T22:02:27.696493
-3007.8888888888914,0.5735935877278646,719,0.32941176470588235,0.1388888888888889,3514,0,22.416343899860834,185,2026-05-10T22:03:00.392659
-2809.722222222221,0.571872806964681,719,0.38823529411764707,0.1111111111111111,3515,0,22.64511655799537,186,2026-05-10T22:03:34.309725
-2853.5000000000005,0.5701571885437869,719,0.13095238095238096,0.06944444444444445,3514,0,22.188101451486475,187,2026-05-10T22:04:10.770586
-2887.888888888891,0.5684467169781556,719,2.111111111111111,0.2222222222222222,3517,0,22.792014941718218,188,2026-05-10T22:04:44.413686
-2910.944444444443,0.5667413768272211,719,1.4,0.2916666666666667,3515,0,22.829230227622933,189,2026-05-10T22:05:18.797132
-2806.277777777774,0.5650411526967395,719,0.6823529411764706,0.16666666666666666,3515,0,22.663979101910545,190,2026-05-10T22:05:52.950523
-2619.944444444448,0.5633460292386493,719,0.6022727272727273,0.16666666666666666,3511,0,22.35895206467333,191,2026-05-10T22:06:29.536398
-2709.888888888891,0.5616559911509333,719,0.7951807228915663,0.1388888888888889,3514,0,22.51277836705448,192,2026-05-10T22:07:05.875890
-2784.3333333333335,0.5599710231774805,719,0.24096385542168675,0.08333333333333333,3516,0,22.738796959666118,193,2026-05-10T22:07:38.863758
-2689.4444444444443,0.5582911101079481,719,0.7045454545454546,0.19444444444444445,3512,1,22.610256754804883,194,2026-05-10T22:08:20.784083
-2718.999999999999,0.5566162367776242,719,0.8823529411764706,0.16666666666666666,3514,0,22.846683900114225,195,2026-05-10T22:08:54.127463
-2702.055555555556,0.5549463880672914,719,0.5882352941176471,0.16666666666666666,3515,0,22.506130068623804,196,2026-05-10T22:09:27.738748
-2799.3888888888896,0.5532815489030894,719,0.38461538461538464,0.125,3507,0,23.101786452971183,197,2026-05-10T22:10:01.400087
-2938.6666666666656,0.5516217042563801,719,0.125,0.06944444444444445,3511,0,22.430451073467484,198,2026-05-10T22:10:35.092595
-2842.3888888888864,0.549966839143611,719,0.7701149425287356,0.16666666666666666,3513,1,22.540130482595387,199,2026-05-10T22:11:08.533876
-2616.3888888888873,0.5483169386261801,719,0.4318181818181818,0.125,3512,0,21.988630404890163,200,2026-05-10T22:11:42.099973
