============================================================
Training independent_dqn on grid_3x3
Net: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.net.xml
Route: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.rou.xml
Episodes: 200
Seed: 46 | Deterministic: True
============================================================
Number of agents (traffic lights): 9
Traffic light IDs: ['A1', 'B0', 'A0', 'A2', 'B1', 'B2', 'C0', 'C1', 'C2']
Observation dim: 43
Number of actions: 2
Number of lanes per intersection: 8
Adjacency matrix:
[[1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 0. 1. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 1. 0.]
 [0. 0. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 1. 0. 1. 1.]]
Episode   95 | reward: -4241.8889 | epsilon: 0.7517 | steps: 719 | avg_delay: 0.8721 | avg_queue: 0.1806 | throughput: 3514 | emergency_stops: 0 | loss_rl: 25.2895
Episode   96 | reward: -3869.3333 | epsilon: 0.7494 | steps: 719 | avg_delay: 1.3218 | avg_queue: 0.2361 | throughput: 3511 | emergency_stops: 0 | loss_rl: 25.4809
Episode   97 | reward: -3673.3889 | epsilon: 0.7472 | steps: 719 | avg_delay: 1.3820 | avg_queue: 0.2083 | throughput: 3511 | emergency_stops: 0 | loss_rl: 25.3302
Episode   98 | reward: -3604.4444 | epsilon: 0.7449 | steps: 719 | avg_delay: 0.1948 | avg_queue: 0.0556 | throughput: 3522 | emergency_stops: 0 | loss_rl: 24.8449
Episode   99 | reward: -3486.6667 | epsilon: 0.7427 | steps: 719 | avg_delay: 0.8132 | avg_queue: 0.1528 | throughput: 3507 | emergency_stops: 0 | loss_rl: 25.4702
Episode  100 | reward: -3968.7222 | epsilon: 0.7405 | steps: 719 | avg_delay: 0.2073 | avg_queue: 0.0694 | throughput: 3518 | emergency_stops: 0 | loss_rl: 25.2059
Episode  101 | reward: -3817.0556 | epsilon: 0.7383 | steps: 719 | avg_delay: 2.4787 | avg_queue: 0.3889 | throughput: 3506 | emergency_stops: 0 | loss_rl: 25.1104
Episode  102 | reward: -3827.6667 | epsilon: 0.7360 | steps: 719 | avg_delay: 0.4405 | avg_queue: 0.1528 | throughput: 3515 | emergency_stops: 0 | loss_rl: 25.5426
Episode  103 | reward: -3782.7778 | epsilon: 0.7338 | steps: 719 | avg_delay: 1.6136 | avg_queue: 0.2500 | throughput: 3512 | emergency_stops: 0 | loss_rl: 25.2453
Episode  104 | reward: -3650.3333 | epsilon: 0.7316 | steps: 719 | avg_delay: 1.2273 | avg_queue: 0.2778 | throughput: 3511 | emergency_stops: 0 | loss_rl: 25.2391
Episode  105 | reward: -3441.0556 | epsilon: 0.7294 | steps: 719 | avg_delay: 0.9545 | avg_queue: 0.2361 | throughput: 3510 | emergency_stops: 1 | loss_rl: 25.2848
Episode  106 | reward: -3743.3889 | epsilon: 0.7273 | steps: 719 | avg_delay: 0.5930 | avg_queue: 0.1250 | throughput: 3513 | emergency_stops: 0 | loss_rl: 24.5775
Episode  107 | reward: -3512.8333 | epsilon: 0.7251 | steps: 719 | avg_delay: 1.5934 | avg_queue: 0.3194 | throughput: 3509 | emergency_stops: 0 | loss_rl: 24.8706
Episode  108 | reward: -3464.7778 | epsilon: 0.7229 | steps: 719 | avg_delay: 0.8000 | avg_queue: 0.1944 | throughput: 3514 | emergency_stops: 0 | loss_rl: 25.0154
Episode  109 | reward: -3409.7222 | epsilon: 0.7207 | steps: 719 | avg_delay: 0.9231 | avg_queue: 0.2361 | throughput: 3509 | emergency_stops: 0 | loss_rl: 24.5493
Episode  110 | reward: -3715.0000 | epsilon: 0.7186 | steps: 719 | avg_delay: 0.8023 | avg_queue: 0.1389 | throughput: 3513 | emergency_stops: 0 | loss_rl: 24.7776
Episode  111 | reward: -3876.0556 | epsilon: 0.7164 | steps: 719 | avg_delay: 0.9639 | avg_queue: 0.2083 | throughput: 3517 | emergency_stops: 0 | loss_rl: 24.1435
Episode  112 | reward: -3561.3889 | epsilon: 0.7143 | steps: 719 | avg_delay: 0.5581 | avg_queue: 0.1528 | throughput: 3514 | emergency_stops: 0 | loss_rl: 24.7737
Episode  113 | reward: -3610.4444 | epsilon: 0.7121 | steps: 719 | avg_delay: 1.0920 | avg_queue: 0.2639 | throughput: 3513 | emergency_stops: 0 | loss_rl: 25.0878
Episode  114 | reward: -3570.2778 | epsilon: 0.7100 | steps: 719 | avg_delay: 0.2299 | avg_queue: 0.1111 | throughput: 3512 | emergency_stops: 0 | loss_rl: 24.2133
Episode  115 | reward: -3355.6111 | epsilon: 0.7079 | steps: 719 | avg_delay: 1.5500 | avg_queue: 0.2222 | throughput: 3518 | emergency_stops: 0 | loss_rl: 24.0517
Episode  116 | reward: -3734.3333 | epsilon: 0.7057 | steps: 719 | avg_delay: 0.7442 | avg_queue: 0.2361 | throughput: 3513 | emergency_stops: 0 | loss_rl: 24.3435
Episode  117 | reward: -3547.3889 | epsilon: 0.7036 | steps: 719 | avg_delay: 3.2778 | avg_queue: 0.4444 | throughput: 3510 | emergency_stops: 0 | loss_rl: 23.9571
Episode  118 | reward: -3572.9444 | epsilon: 0.7015 | steps: 719 | avg_delay: 0.3068 | avg_queue: 0.1528 | throughput: 3511 | emergency_stops: 0 | loss_rl: 24.3976
Episode  119 | reward: -3499.1667 | epsilon: 0.6994 | steps: 719 | avg_delay: 1.9111 | avg_queue: 0.2778 | throughput: 3510 | emergency_stops: 0 | loss_rl: 24.4666
